qname	flags	java_idx	java_hap	rust_idx	rust_hap	java_max	java_tie_idx	hap_bases_equal	hap_repr_equal	overlap_bases_equal	cigar_equal	start_equal	end_equal	bases_equal	BQ_equal	IQ_equal	DQ_equal	HC_tag
HWI-D00360:5:H814YADXX:1:2106:9068:58347	147	20	5c15d6193ce64f9f	23	c59cd4408a696108	-2.7182502746582031	20,21,22,23,24	false	true	true	true	true	true	true	true	true	true	false
HWI-D00360:8:H88U0ADXX:1:2108:17586:63513	83	5	65ecab37015c4ded	8	5c14fc1598ce818a	-2.6432838439941406	5,6,7,8,9,20	false	true	true	true	true	true	true	true	true	true	false
