path	line	fn
gatk-core/src/io/bam.rs	584	parse_program
gatk-core/src/io/bam.rs	607	read_next_record
gatk-core/src/io/bam.rs	645	read_header
gatk-core/src/io/bam.rs	646	read_next_record
gatk-core/src/io/bam.rs	650	read_header
gatk-core/src/io/bam.rs	654	read_next_record
gatk-core/src/io/bam.rs	661	is_paired
gatk-core/src/io/bam.rs	666	is_proper_pair
gatk-core/src/io/bam.rs	671	is_unmapped
gatk-core/src/io/bam.rs	676	is_mate_unmapped
gatk-core/src/io/bam.rs	681	is_reverse_strand
gatk-core/src/io/bam.rs	686	is_mate_reverse_strand
gatk-core/src/io/bam.rs	691	is_first_in_pair
gatk-core/src/io/bam.rs	696	is_second_in_pair
gatk-core/src/io/bam.rs	701	is_secondary
gatk-core/src/io/bam.rs	706	is_qc_fail
gatk-core/src/io/bam.rs	711	is_duplicate
gatk-core/src/io/bam.rs	716	is_supplementary
gatk-core/src/io/bam.rs	721	read_length
gatk-core/src/io/bam.rs	738	reference_span
gatk-core/src/io/bam.rs	756	average_quality
gatk-core/src/io/bam.rs	764	gc_content
gatk-core/src/io/fasta.rs	34	new
gatk-core/src/io/fasta.rs	44	with_description
gatk-core/src/io/fasta.rs	54	as_bytes
gatk-core/src/io/fasta.rs	58	len
gatk-core/src/io/fasta.rs	62	is_empty
gatk-core/src/io/fasta.rs	66	gc_content
gatk-core/src/io/fasta.rs	78	reverse_complement
gatk-core/src/io/fasta.rs	103	subsequence
gatk-core/src/io/fasta.rs	111	count_pattern
gatk-core/src/io/fasta.rs	121	is_valid_dna
gatk-core/src/io/fasta.rs	220	read_next_sequence
gatk-core/src/io/fasta.rs	221	get_metadata
gatk-core/src/io/fasta.rs	241	from_file
gatk-core/src/io/fasta.rs	265	from_file_buffered
gatk-core/src/io/fasta.rs	275	from_file_memory_mapped
gatk-core/src/io/fasta.rs	283	read_next_sequence
gatk-core/src/io/fasta.rs	288	read_all_sequences
gatk-core/src/io/fasta.rs	299	get_sequence_by_name
gatk-core/src/io/fasta.rs	314	metadata
gatk-core/src/io/fasta.rs	319	iter
